Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_21,Volatility,Target
2022-03-31,HDFCBANK.NS,699.6626915809051,706.1789014459227,697.236952189026,699.353515625,14295714,698.353515625,692.0321829659598,676.8797374906994,9.789868665353497,1
2022-04-01,HDFCBANK.NS,702.2312603639822,718.2126697474425,699.3298830454588,716.3101196289062,14568556,715.3101196289062,693.8498099190848,679.8638015020462,12.960410397670024,1
2022-04-04,HDFCBANK.NS,751.5072706543655,819.0953496497071,743.2074192757403,788.0362548828125,97450970,787.0362548828125,708.4009225027902,686.3370012555804,37.278068158317836,0
2022-04-05,HDFCBANK.NS,792.7450201895066,792.7450201895066,761.9712963036054,764.9440307617188,30922582,763.9440307617188,720.4515380859375,691.8124970935639,40.30108568125172,0
2022-04-06,HDFCBANK.NS,755.1696250388968,756.1685102240006,735.9776637926485,737.6423950195312,27027860,736.6423950195312,728.4728131975446,696.932390485491,36.6798616304767,0
2022-04-07,HDFCBANK.NS,733.100080241604,733.1238272791691,719.9724391818007,721.4231567382812,40781732,720.4231567382812,732.8860386439732,701.2119954427084,33.030849404874104,0
2022-04-08,HDFCBANK.NS,719.211478547381,725.7039422730295,712.1720781256234,720.4243774414062,41256322,719.4243774414062,735.4476928710938,704.4621843610491,30.908012666221,0
2022-04-11,HDFCBANK.NS,716.3100788229164,718.2126288330701,710.245700665551,711.6250610351562,20799066,710.6250610351562,737.2007707868304,706.8052687872024,28.795389281154467,0
2022-04-12,HDFCBANK.NS,705.8460070134646,716.7143116143333,704.0148143622292,710.3645629882812,27435402,709.3645629882812,736.3514055524554,708.9954630533854,29.59098809101241,0
2022-04-13,HDFCBANK.NS,708.6998371784712,714.5502013407392,695.691163859955,696.7850952148438,28892520,695.7850952148438,723.3155255998884,709.5028076171875,22.205065329337693,0
2022-04-18,HDFCBANK.NS,674.8583237972184,680.9465076399842,661.1599972428315,663.7283935546875,45620376,662.7283935546875,708.8561488560268,708.8561692010788,23.496696187259033,0
2022-04-19,HDFCBANK.NS,656.8079038056561,660.9221802216326,631.1710282718929,638.4006958007812,74096022,637.4006958007812,694.6787632533482,706.4564674014136,31.730383571699033,1
2022-04-20,HDFCBANK.NS,644.2271829644586,646.8194421533099,635.142518406885,644.1558837890625,49325736,643.1558837890625,683.6405814034598,703.6083025251116,34.21820179931108,1
2022-04-21,HDFCBANK.NS,649.2451838249173,656.2846420095574,643.6802483309051,653.6923828125,52446270,652.6923828125,674.107439313616,701.0681704566592,31.445702852738947,0
2022-04-22,HDFCBANK.NS,646.8669864904109,654.168010350688,641.706331335433,644.774169921875,20659148,643.774169921875,664.5573120117188,697.9300885881696,28.128951872306704,1
2022-04-25,HDFCBANK.NS,642.1106379350289,651.9325641201308,628.9116970441421,649.6019287109375,20935488,648.6019287109375,655.876935686384,695.3593837193081,19.770956460613075,1
2022-04-26,HDFCBANK.NS,652.5746446077407,657.3072144691479,645.5114394033479,652.5984497070312,17016842,651.5984497070312,649.5645577566964,693.7603352864584,8.202565296145714,1
2022-04-27,HDFCBANK.NS,646.8670900654843,655.904203823752,645.012091944963,652.8363647460938,18054334,651.8363647460938,648.0085536411831,692.4387468610491,5.727636211622814,0
2022-04-28,HDFCBANK.NS,652.5746789306378,655.9041415782432,647.8658558596376,652.2655029296875,20773722,651.2655029296875,649.989240373884,691.0469389415923,3.982958382659893,1
