Date,Ticker,Open,High,Low,Close,Volume
2022-01-03,INFY.NS,1694.6439822250395,1718.2536866238245,1694.6439822250395,1704.2493896484375,3329616
2022-01-04,INFY.NS,1704.249347875214,1711.6106003890875,1685.891310083786,1704.8778076171875,3921999
2022-01-05,INFY.NS,1705.6408706210877,1708.244239129732,1651.7785273383165,1655.952880859375,6995719
2022-01-06,INFY.NS,1641.0061644901782,1641.0061644901782,1615.8704026708538,1631.849609375,6449205
2022-01-07,INFY.NS,1629.7399155826886,1648.1878132075997,1621.9748482469563,1628.7076416015625,4834389
2022-01-10,INFY.NS,1629.3359737764672,1678.6200425032102,1627.5405622351159,1661.428955078125,7857560
2022-01-11,INFY.NS,1665.2442353583547,1678.7098221671822,1660.890384206812,1665.7828369140625,5142287
2022-01-12,INFY.NS,1677.7223862621913,1695.7662508688193,1669.7327827506638,1685.397705078125,5362535
2022-01-13,INFY.NS,1710.1294538640775,1716.8622469895265,1675.4331047076187,1702.768310546875,14277630
2022-01-14,INFY.NS,1689.482300136632,1735.2652955175927,1688.5845943448485,1731.9886474609375,7688506
2022-01-17,INFY.NS,1740.2475651482325,1754.0273268080673,1733.0209898627827,1741.100341796875,5262464
2022-01-18,INFY.NS,1725.480313542678,1746.0377984851907,1715.9197247602908,1724.2684326171875,3690315
2022-01-19,INFY.NS,1720.0043002642583,1720.0043002642583,1672.2912154253556,1676.0616455078125,5747770
2022-01-20,INFY.NS,1655.3695907896717,1658.9604141970246,1629.7849740122826,1637.1461181640625,5533463
2022-01-21,INFY.NS,1611.3819108977614,1623.0520862970209,1594.3255006988436,1603.033203125,8252758
2022-01-24,INFY.NS,1584.450634058544,1587.7272819323061,1551.2355216165236,1559.1353759765625,7116712
2022-01-25,INFY.NS,1549.978755619526,1562.0080348157867,1526.548657013934,1545.9840087890625,9137653
2022-01-27,INFY.NS,1527.8952534020755,1534.807544146456,1494.6801391976826,1506.888916015625,11231734
2022-01-28,INFY.NS,1509.0433996097977,1550.8316470432278,1507.6968409545839,1513.71142578125,10998502
2022-01-31,INFY.NS,1542.2584788669017,1570.536209998629,1539.8795367121913,1558.5966796875,8788872
2022-02-01,INFY.NS,1585.4380043158844,1597.9161353795928,1557.2500236065903,1590.7794189453125,5119935
2022-02-02,INFY.NS,1605.9955798264787,1609.4069054950608,1590.7345821422696,1604.2899169921875,4253717
2022-02-03,INFY.NS,1597.018700619469,1597.018700619469,1556.6219375346593,1560.70654296875,3832922
2022-02-04,INFY.NS,1554.826382864696,1574.530980546349,1535.2115338427761,1562.9954833984375,4700077
2022-02-07,INFY.NS,1546.0287449587365,1554.8263048355502,1521.9702974467775,1539.5653076171875,4310209
2022-02-08,INFY.NS,1535.0768311505972,1548.5424173887602,1522.5089506616448,1541.630126953125,6053401
2022-02-09,INFY.NS,1557.5194614769207,1564.701107408803,1548.5424040620683,1559.584228515625,3867244
2022-02-10,INFY.NS,1576.0571267076214,1592.4402566950537,1569.8629350970984,1588.580078125,4334630
2022-02-11,INFY.NS,1562.00798096686,1567.3492862638898,1537.769926089788,1545.2657470703125,7551371
2022-02-14,INFY.NS,1517.1227543219873,1542.7522979398288,1506.5747115034765,1510.12060546875,7459637
2022-02-15,INFY.NS,1525.2021805307736,1568.0676332207938,1517.5267519749755,1560.4371337890625,4669915
2022-02-16,INFY.NS,1560.437130216687,1575.8776263746088,1550.2032620267948,1555.9935302734375,5350642
2022-02-17,INFY.NS,1565.5988215345953,1570.0873502660593,1544.323239180745,1548.3629150390625,3937950
2022-02-18,INFY.NS,1535.076791414694,1546.2981129893628,1529.2417041958663,1532.3387451171875,5602215
2022-02-21,INFY.NS,1526.9977246973351,1559.5844924615615,1518.4695187099014,1553.6595458984375,5120890
2022-02-22,INFY.NS,1526.0101141230716,1571.8828586701877,1518.0654396952104,1556.93603515625,8878515
2022-02-23,INFY.NS,1570.9850241223437,1578.3910963789203,1556.083130953027,1564.56640625,5478811
2022-02-24,INFY.NS,1517.2125256514232,1539.5204924970208,1499.6175141781305,1506.4849853515625,13592379
