Date,Ticker,Open,High,Low,Close,Volume
2022-01-03,WIPRO.NS,331.6798034781801,335.7449542048963,330.75590430414616,332.003173828125,9280810
2022-01-04,WIPRO.NS,333.8740678497758,334.0357389290219,328.70022677675104,333.296630859375,10228800
2022-01-05,WIPRO.NS,332.6037161385336,332.9963620253529,324.7505728408183,329.6010437011719,14711264
2022-01-06,WIPRO.NS,326.04408793938404,329.0236691006354,323.3416935112558,326.02099609375,12883220
2022-01-07,WIPRO.NS,327.06033087145335,333.29665073976497,326.87553974543647,328.6771545410156,13120326
2022-01-10,WIPRO.NS,327.5222484365847,327.5222484365847,318.7452065179738,320.3620300292969,27537820
2022-01-11,WIPRO.NS,321.0550299860529,322.64876203293153,318.2833318854539,320.6623840332031,15487458
2022-01-12,WIPRO.NS,323.3647106517674,324.1731224283968,315.603963235158,319.36883544921875,23460682
2022-01-13,WIPRO.NS,306.3649607599928,307.65841391821374,299.3433216501539,300.1517333984375,61505934
2022-01-14,WIPRO.NS,299.9207884000384,299.9207884000384,294.0309307918744,295.55535888671875,26514548
2022-01-17,WIPRO.NS,295.4168057533219,301.02950536587423,292.437224825611,298.7197570800781,20457876
2022-01-18,WIPRO.NS,299.7591352197224,300.26726854997025,291.5595290400886,292.5527038574219,14329980
2022-01-19,WIPRO.NS,291.4902256792378,291.79050422623004,285.94682994524277,286.9400329589844,17382766
2022-01-20,WIPRO.NS,286.70900648037684,287.51741821259964,282.0202071554195,284.1913757324219,16827124
2022-01-21,WIPRO.NS,282.2480820656303,282.71078383950834,277.9912200977369,279.95770263671875,19646694
2022-01-24,WIPRO.NS,280.16587032349753,280.16587032349753,263.022778539035,265.01239013671875,26150716
2022-01-25,WIPRO.NS,260.26972817391214,264.6653946941826,254.80985330221176,260.3622741699219,34712370
2022-01-27,WIPRO.NS,256.79947088485795,257.6786155050373,248.56338539478352,252.05677795410156,31351744
2022-01-28,WIPRO.NS,254.53221277747593,261.4033504774322,252.93591438677657,255.48077392578125,29899780
2022-01-31,WIPRO.NS,263.2772782710784,265.77587885162626,260.29284653349947,264.9429931640625,26252174
2022-02-01,WIPRO.NS,268.32073614193285,269.4774904307995,262.0973924196161,266.81695556640625,20920202
2022-02-02,WIPRO.NS,269.2923932756696,272.99400692894346,266.05348132905505,272.068603515625,16368826
2022-02-03,WIPRO.NS,270.5416825111557,272.4387481347519,266.5855887285879,267.5572509765625,14082780
2022-02-04,WIPRO.NS,266.97892800595076,267.3490837830472,262.83774141206277,264.54974365234375,13633558
2022-02-07,WIPRO.NS,264.6190889850861,265.4982051889126,257.07702938169643,257.7248229980469,15091358
2022-02-08,WIPRO.NS,259.76075596782255,261.7966265838389,256.5449733772032,259.2286376953125,13953814
2022-02-09,WIPRO.NS,261.1488632036553,264.0870078420439,260.63987436479186,263.254150390625,10207476
2022-02-10,WIPRO.NS,264.85045590132034,265.93779356509776,261.98169980490525,265.4288330078125,11603824
2022-02-11,WIPRO.NS,261.88916159363015,261.88916159363015,257.77110517673674,259.78387451171875,15442458
2022-02-14,WIPRO.NS,254.48594163317546,257.79427017083526,249.85892451257226,250.64552307128906,16241546
2022-02-15,WIPRO.NS,252.45006867170875,261.542169541771,251.3627308333783,260.66302490234375,13676992
2022-02-16,WIPRO.NS,261.49588813584467,263.8787850472097,257.9793381221411,260.9175109863281,14607822
2022-02-17,WIPRO.NS,264.66535859044126,264.85045055721184,259.64505670381595,261.38018798828125,14228840
2022-02-18,WIPRO.NS,258.650255486029,261.7503625864013,256.96138295073825,260.24658203125,13411838
2022-02-21,WIPRO.NS,257.1464826539002,264.98928250991236,256.9845483472181,264.1101379394531,17534002
2022-02-22,WIPRO.NS,257.37784800964704,263.2772953123401,257.308431450833,261.033203125,21490124
2022-02-23,WIPRO.NS,263.3698535048165,264.1564521631443,260.3391625552438,262.3981628417969,14408512
2022-02-24,WIPRO.NS,253.5605397364245,257.6785962949957,245.76402713767288,248.5402374267578,26953888
2022-02-25,WIPRO.NS,253.5605732566974,258.53461734886804,253.32922236868947,256.9151611328125,15922624
2022-02-28,WIPRO.NS,254.94862378238537,259.15919774261783,251.75597091772096,257.1695861816406,18316874
2022-03-02,WIPRO.NS,256.79948280621437,258.326393001712,254.6710659568631,256.89202880859375,16354110
2022-03-03,WIPRO.NS,260.5010780680977,266.49307121361574,259.27490716797325,263.5317687988281,25911326
2022-03-04,WIPRO.NS,259.5756623768064,268.3669949706733,256.3598798060987,266.1922912597656,26948372
2022-03-07,WIPRO.NS,260.50107869517,268.20507393524855,260.15405239140205,264.5959777832031,21112334
2022-03-08,WIPRO.NS,264.665400282874,273.34105807186677,264.665400282874,271.81414794921875,22039998
2022-03-09,WIPRO.NS,272.0686195692784,275.95532543098284,269.36182572203353,270.911865234375,23527232
2022-03-10,WIPRO.NS,275.30753236601214,276.00158496861553,270.4954230248662,272.1842956542969,16161966
2022-03-11,WIPRO.NS,271.60590401113,272.99400914236236,269.4774874396689,271.2357482910156,9927188
2022-03-14,WIPRO.NS,271.32829995500225,277.9911877796011,271.14320797053904,276.7650451660156,15006442
2022-03-15,WIPRO.NS,279.3330685225253,279.3330685225253,270.3566427491006,271.9298400878906,13853244
2022-03-16,WIPRO.NS,275.42320462524566,277.3665575383506,274.1507748684722,276.8113098144531,11150296
2022-03-17,WIPRO.NS,279.9345303546851,282.7107405730787,277.15832013629154,278.17626953125,16881290
2022-03-21,WIPRO.NS,279.98080019649115,285.0242602539062,276.6956292724609,277.62103271484375,15592952
2022-03-22,WIPRO.NS,279.1942296997418,282.7107514823074,275.8396422230696,282.27117919921875,15580500
2022-03-23,WIPRO.NS,284.0757440168085,284.5615752043085,281.1838580899354,282.8033142089844,11393836
2022-03-24,WIPRO.NS,280.8599474810739,284.00631356740854,280.30469976205666,282.5025329589844,7751490
2022-03-25,WIPRO.NS,282.7107920296894,284.09889739153726,276.34864245455316,279.1711120605469,11986194
2022-03-28,WIPRO.NS,281.3226295718275,281.7853312652022,276.279169817615,277.71356201171875,11476810
2022-03-29,WIPRO.NS,279.00915238629733,280.09649019120764,277.22776196351066,278.7778015136719,9402006
2022-03-30,WIPRO.NS,279.98079211540437,281.92414493653166,277.3896738479487,277.9911804199219,15488764
2022-03-31,WIPRO.NS,277.6210417119953,279.14795179319674,273.08657034558064,273.8731689453125,14476178
2022-04-01,WIPRO.NS,273.7806418945994,279.1942582308027,272.67014635447964,278.45391845703125,8567994
2022-04-04,WIPRO.NS,279.93454845975924,280.6286010592462,277.1583380618112,280.212158203125,8855948
2022-04-05,WIPRO.NS,282.47495781399056,284.36449470043925,279.02244886686043,279.5356750488281,12862488
2022-04-06,WIPRO.NS,278.99914352316256,278.99914352316256,275.73326726118574,276.9229736328125,8235902
2022-04-07,WIPRO.NS,276.1997964408889,276.1997964408889,269.43476764292797,270.9977111816406,15721530
2022-04-08,WIPRO.NS,273.4004975883977,273.86705133854855,270.83445196256804,272.3041076660156,8636632
2022-04-11,WIPRO.NS,272.4673764885001,272.5840149202161,265.04916084089274,266.4488220214844,17164216
2022-04-12,WIPRO.NS,265.0025182053982,265.0025182053982,259.49718989566287,260.66357421875,16338532
2022-04-13,WIPRO.NS,261.27005731214143,263.8361025178857,258.7506560833038,260.8968200683594,11204576
2022-04-18,WIPRO.NS,256.5345571002462,256.5345571002462,250.0727993289532,251.28582763671875,18930062
2022-04-19,WIPRO.NS,253.8052105807769,254.52836311421822,245.43056604376758,247.48341369628906,13286008
2022-04-20,WIPRO.NS,250.07278394032502,252.19559758637388,247.9032978384312,250.30606079101562,8660976
2022-04-21,WIPRO.NS,252.40557167085888,253.10540227623093,250.70263914064807,251.56578063964844,13388782
2022-04-22,WIPRO.NS,249.6062355634605,252.33556338429042,247.57673830963094,250.86593627929688,9782424
2022-04-25,WIPRO.NS,247.25016417795297,247.81003437017802,244.1475703666672,246.97021484375,9473768
2022-04-26,WIPRO.NS,250.5393602373919,250.88927554498602,245.92046678667722,246.92356872558594,8718740
2022-04-27,WIPRO.NS,245.87379348394592,245.87379348394592,240.04187238612934,242.1180419921875,16275078
2022-04-28,WIPRO.NS,244.4741312199241,245.7105098770606,240.74170173565045,243.79762268066406,13241338
2022-04-29,WIPRO.NS,246.57363638964566,246.57363638964566,236.54273159801392,237.3825225830078,24151260
2022-05-02,WIPRO.NS,240.50842718259253,242.14136509750827,229.82435052976143,230.94407653808594,43822854
2022-05-04,WIPRO.NS,233.27684814577242,235.07308272411265,228.26139591063833,229.4277801513672,17267854
2022-05-05,WIPRO.NS,233.7434200562756,235.0031208296592,231.5506118175975,233.8134002685547,10869532
2022-05-06,WIPRO.NS,228.61132093300117,229.0312164299541,224.41233748729297,226.32521057128906,18441782
2022-05-09,WIPRO.NS,224.87890183963867,228.30807466344206,221.42640702415852,225.41543579101562,16675250
2022-05-10,WIPRO.NS,225.34544573138845,225.69536101979122,222.14954991635852,222.84938049316406,14969534
2022-05-11,WIPRO.NS,223.96909679888287,224.8555602146406,215.80440709229592,220.16668701171875,21029342
2022-05-12,WIPRO.NS,218.39379870691448,222.07957023931888,215.6177983836872,221.0531463623047,14573000
2022-05-13,WIPRO.NS,223.7124855511166,223.7124855511166,217.88056465562346,218.65037536621094,16775318
2022-05-16,WIPRO.NS,221.1464597261869,221.30975637318065,216.94747631366437,218.34713745117188,7314066
2022-05-17,WIPRO.NS,219.7468073182238,228.14477447688205,218.4871065491891,227.04837036132812,11321450
2022-05-18,WIPRO.NS,229.03120139979504,231.060712779652,224.22570413363638,224.52896118164062,15390968
2022-05-19,WIPRO.NS,217.4839923684653,221.05312512827666,209.94915337817721,210.48568725585938,22945978
2022-05-20,WIPRO.NS,215.54782670823238,215.64114315096117,212.28195054598643,214.4281005859375,12731912
2022-05-23,WIPRO.NS,216.38760811044503,218.25382297724693,213.44832539046783,217.41403198242188,14111568
2022-05-24,WIPRO.NS,218.5570914278321,219.0936253474092,213.68159945678116,214.5913848876953,13779460
2022-05-25,WIPRO.NS,214.68466739995654,215.01126066266605,206.77659127325293,207.54640197753906,15481506
2022-05-26,WIPRO.NS,208.0829580650718,212.14198110372942,207.14985062980244,211.5121307373047,11583082
2022-05-27,WIPRO.NS,214.61470014609486,218.32380772429008,212.86512378620822,217.8572540283203,11414472
2022-05-30,WIPRO.NS,220.74986304644975,224.64558898445188,220.74986304644975,222.19618225097656,12291148
2022-05-31,WIPRO.NS,222.03289266384368,224.29568085130288,219.46684743309555,223.03598022460938,31587004
2022-06-01,WIPRO.NS,223.4559035616048,223.4559035616048,218.58041163042893,219.63015747070312,10514566
2022-06-02,WIPRO.NS,220.12001145485235,222.28949736789127,218.39377145286542,221.21641540527344,10535040
2022-06-03,WIPRO.NS,223.7824779542263,227.6782041724172,221.37972926190974,221.84628295898438,23269778
2022-06-06,WIPRO.NS,220.2133385030058,221.84627639444756,216.57422546874236,220.77320861816406,13791156
