Date,Ticker,Open,High,Low,Close,Volume
2022-01-03,RELIANCE.NS,1076.1034905748938,1095.6462506930534,1075.4437086416906,1093.7806396484375,5421611
2022-01-04,RELIANCE.NS,1099.2636517956478,1119.7846517979926,1093.848914455948,1118.465087890625,10847728
2022-01-05,RELIANCE.NS,1120.2396140596422,1127.0647821675334,1107.021469888781,1123.6976318359375,11643813
2022-01-06,RELIANCE.NS,1115.3255331004264,1116.5996031111947,1096.123976548564,1099.53662109375,14447422
2022-01-07,RELIANCE.NS,1106.1116205329258,1118.4423946166428,1097.2843585968753,1108.409423828125,13112115
2022-01-10,RELIANCE.NS,1115.6895654128748,1117.9646215781718,1099.3318598320666,1109.3193359375,9246731
2022-01-11,RELIANCE.NS,1108.4094288062329,1126.1320732620725,1107.9543693940097,1117.304931640625,16205164
2022-01-12,RELIANCE.NS,1124.4711644227355,1148.8826135216357,1121.6045672988503,1147.1307373046875,14800442
2022-01-13,RELIANCE.NS,1147.19918473575,1156.1856749337926,1141.3522552982324,1153.592041015625,11856712
2022-01-14,RELIANCE.NS,1153.4553940360954,1168.1522095010407,1149.2919803342058,1155.275390625,19930176
2022-01-17,RELIANCE.NS,1154.82047798332,1167.1057561240766,1154.3654186486065,1161.3043212890625,8036453
2022-01-18,RELIANCE.NS,1162.4418646639435,1165.8998821993202,1144.696356607209,1147.44921875,6215029
2022-01-19,RELIANCE.NS,1151.1804880553777,1156.6405988874542,1141.6252038335633,1147.3583984375,9755485
2022-01-20,RELIANCE.NS,1137.5529609143537,1142.0575796806486,1117.0545865844654,1127.2696533203125,16494486
2022-01-21,RELIANCE.NS,1115.6895591579548,1138.5538554378697,1115.6895591579548,1127.4515380859375,13338594
2022-01-24,RELIANCE.NS,1126.1545759538076,1139.6912967231897,1071.598729229798,1081.9730224609375,21868937
2022-01-25,RELIANCE.NS,1069.0734401117095,1086.8644436444313,1048.802657948011,1079.8572998046875,24510205
2022-01-27,RELIANCE.NS,1062.9080331478985,1072.0537511885557,1051.5554999211186,1063.863525390625,20020431
2022-01-28,RELIANCE.NS,1076.103482458547,1081.0630398643073,1059.4500666597933,1062.83984375,14667727
2022-01-31,RELIANCE.NS,1073.91944662709,1094.9409997464795,1072.0993294430996,1085.9317626953125,12143683
2022-02-01,RELIANCE.NS,1095.6690383601324,1101.402112704543,1067.9587979070466,1082.337158203125,13200509
2022-02-02,RELIANCE.NS,1095.2139504085303,1095.2139504085303,1080.6991087798986,1084.5439453125,10017691
2022-02-03,RELIANCE.NS,1088.3886622160464,1092.6885576552872,1068.0041465713055,1070.5294189453125,9572839
2022-02-04,RELIANCE.NS,1065.183161923649,1068.5730594354839,1056.1284310635565,1060.76953125,11061241
2022-02-07,RELIANCE.NS,1065.6382591326399,1072.372440138568,1048.802746440698,1054.3084716796875,10714467
2022-02-08,RELIANCE.NS,1060.4737500675897,1073.8283759531457,1051.0776952115107,1072.031005859375,12060849
2022-02-09,RELIANCE.NS,1078.901658786714,1086.204633140618,1072.918368570495,1084.5211181640625,11486225
2022-02-10,RELIANCE.NS,1090.0721909727154,1090.0721909727154,1076.1488917844267,1083.4063720703125,12464491
2022-02-11,RELIANCE.NS,1079.857350777376,1084.976257286365,1066.5937118273357,1081.2906494140625,15943370
2022-02-14,RELIANCE.NS,1064.8418760134352,1071.5305623649283,1052.4427424947037,1064.068359375,10719633
2022-02-15,RELIANCE.NS,1069.8240582965398,1102.903535095615,1062.7714215553635,1100.1961669921875,11212671
2022-02-16,RELIANCE.NS,1105.6791781831728,1107.0442358991004,1090.1860980638264,1097.9212646484375,10392840
2022-02-17,RELIANCE.NS,1101.174641012644,1117.0090469039765,1096.5790346237516,1111.8218994140625,12853252
2022-02-18,RELIANCE.NS,1112.2314504381943,1117.6915612787002,1101.1973736454247,1103.1312255859375,6775458
2022-02-21,RELIANCE.NS,1097.4890031023695,1109.091873871227,1085.021748188729,1091.9833984375,11107193
2022-02-22,RELIANCE.NS,1070.5977356852184,1090.1633625619224,1067.9814753307442,1087.023681640625,13494914
2022-02-23,RELIANCE.NS,1092.5294602510214,1095.0092390254035,1077.468571284383,1080.2213134765625,7310110
2022-02-24,RELIANCE.NS,1048.8027920240986,1064.6828130643278,1020.7740927277775,1026.3934326171875,24846650
2022-02-25,RELIANCE.NS,1037.4729771115954,1050.1450756675365,1035.7212210618118,1039.224853515625,14570089
2022-02-28,RELIANCE.NS,1020.5920864050885,1077.172783570844,1020.5920864050885,1073.6236572265625,21297446
2022-03-02,RELIANCE.NS,1062.2028545911362,1092.483981972098,1059.8140635885236,1091.369140625,21471786
2022-03-03,RELIANCE.NS,1092.0287696037128,1098.7856965324477,1078.4011810031334,1082.155029296875,10186748
2022-03-04,RELIANCE.NS,1070.643199306108,1075.7848524224223,1055.787154408625,1058.1531982421875,10805667
2022-03-07,RELIANCE.NS,1036.8358471079189,1052.0333374144284,1011.0367133096933,1019.022216796875,17983310
2022-03-08,RELIANCE.NS,1006.2591610579486,1021.9571458487228,991.9262942983967,1017.179443359375,21289374
2022-03-09,RELIANCE.NS,1017.406956117863,1077.01347494328,1016.565078233395,1071.143798828125,20414228
2022-03-10,RELIANCE.NS,1092.028820377732,1094.3038764083778,1073.8283721325647,1088.50244140625,17980493
2022-03-11,RELIANCE.NS,1081.1313132856126,1097.0340801861346,1081.1313132856126,1091.64208984375,12257423
2022-03-14,RELIANCE.NS,1086.06812572994,1103.1311056498985,1080.1984500463022,1100.605712890625,8340678
2022-03-15,RELIANCE.NS,1104.7463279779463,1104.7463279779463,1065.114765849993,1075.3980712890625,15925769
2022-03-16,RELIANCE.NS,1083.8385885222203,1095.6234340578644,1081.609026403429,1093.5531005859375,11149828
2022-03-17,RELIANCE.NS,1106.9304944761457,1136.3469946247096,1098.8994972340938,1129.203369140625,21422098
2022-03-21,RELIANCE.NS,1112.0493977484434,1130.249846191458,1109.7743416930666,1122.6966552734375,11999466
2022-03-22,RELIANCE.NS,1119.3751418583722,1153.4328665457272,1116.417676927256,1151.703857421875,22557065
2022-03-23,RELIANCE.NS,1147.9953600851836,1167.0375661035232,1147.9953600851836,1155.366455078125,15462187
2022-03-24,RELIANCE.NS,1142.08015447494,1175.8192962308133,1142.08015447494,1173.316650390625,13168266
2022-03-25,RELIANCE.NS,1175.0685459381182,1190.3114093068612,1172.5659000566366,1181.1429443359375,14222488
2022-03-28,RELIANCE.NS,1187.5813149251485,1196.5678044575318,1176.8885634283017,1193.018798828125,9891424
2022-03-29,RELIANCE.NS,1200.321638726132,1200.321638726132,1186.3983390664755,1193.291748046875,8684065
2022-03-30,RELIANCE.NS,1201.1863453712592,1223.0724028520565,1190.8120505919683,1216.2244873046875,15811550
2022-03-31,RELIANCE.NS,1212.584340487485,1214.7456618708436,1196.0446595036312,1198.8428955078125,13223718
2022-04-01,RELIANCE.NS,1199.4116203413212,1212.6752582349072,1193.0415116671982,1208.443603515625,7922880
2022-04-04,RELIANCE.NS,1208.2617761125623,1217.1572786813153,1201.9826544660282,1212.015625,7929162
2022-04-05,RELIANCE.NS,1206.2823045318924,1214.8366019261355,1192.4499926471442,1194.88427734375,13149870
2022-04-06,RELIANCE.NS,1177.1617516980632,1198.72923220727,1177.1617516980632,1191.6993408203125,12257215
2022-04-07,RELIANCE.NS,1180.8018153339476,1185.7614936648845,1168.015981475152,1170.6778564453125,15496499
2022-04-08,RELIANCE.NS,1164.830654298533,1194.4065010347827,1164.830654298533,1190.152099609375,15152495
2022-04-11,RELIANCE.NS,1183.0312648122701,1200.572052745213,1175.296097837182,1187.6724853515625,9254209
