Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_21,Volatility,Target
2022-05-02,HDFCBANK.NS,647.8420880799416,668.9603468911126,647.8420880799416,667.65234375,19494316,0.03057883400069225,654.0423496791294,687.8658272879464,7.280379465477293,0
2022-05-04,HDFCBANK.NS,665.8925284326605,667.6048118935288,642.1106524172083,644.9644775390625,29055916,-0.031428571428571535,654.0695364815848,685.275873093378,7.240246124857557,0
2022-05-05,HDFCBANK.NS,654.0015630179496,654.0015630179496,640.4458942572139,643.5137329101562,17862912,-0.01603639914772726,653.1997942243304,681.8093784877232,8.172079421001614,0
2022-05-06,HDFCBANK.NS,632.5978677162095,634.9760551888268,624.5120303093106,626.699951171875,26731268,-0.009323326627114704,649.5000087193081,674.126697358631,12.953496757459131,1
2022-05-09,HDFCBANK.NS,618.32874885627,630.9331425829555,616.1883801102291,627.7701416015625,32762434,0.015269211989182782,645.9191196986607,667.5946073986236,15.155059439249408,1
2022-05-10,HDFCBANK.NS,625.4870637597833,643.5374821065801,625.4870637597833,637.8536376953125,20113812,0.019771110630480735,643.8602818080357,662.842761811756,15.128112270732176,1
2022-05-11,HDFCBANK.NS,643.5375186995411,644.4887936717504,631.9557575251372,641.4447021484375,17102924,-0.0032520505647173174,641.4141409737723,659.0342639741443,13.66748379018034,0
2022-05-12,HDFCBANK.NS,635.6706993369925,638.4133907389254,622.1498973824371,626.9856567382812,22382290,-0.013662801522501761,635.6046142578125,654.5848010835193,8.208576274160645,0
2022-05-13,HDFCBANK.NS,630.353829122959,634.1790892090257,619.262889083472,621.35595703125,16768238,-0.014274319716956752,632.2319684709821,650.2862723214286,8.564250906964869,1
2022-05-16,HDFCBANK.NS,625.0368734940553,631.292053906236,618.4448991695826,627.9719848632812,9804356,0.004695901143908904,630.01171875,646.3628162202381,7.02900006279832,1
2022-05-17,HDFCBANK.NS,631.5807479648557,633.6978977151113,624.6519209350625,632.25439453125,16641444,0.001066604022628874,630.8052106584821,643.2899257114956,6.905256881577136,0
2022-05-18,HDFCBANK.NS,637.0901630861314,641.5409646353346,630.3297329141748,632.206298828125,15732384,-0.007665891801481338,631.438947405134,641.7888735816592,6.78276595047888,0
2022-05-19,HDFCBANK.NS,618.8780087156123,623.7859555796492,615.0768300364393,619.2870483398438,20537506,0.0006609374036094255,628.7865774972098,640.8786998930432,7.453303742957639,1
2022-05-20,HDFCBANK.NS,626.9615731938593,637.1623059170763,621.837124950426,635.5985107421875,13919350,0.013775864291538688,627.9514072963169,640.4712059384301,5.980554184264166,0
2022-05-23,HDFCBANK.NS,632.2544265466233,639.9290287015857,625.0850152898169,627.4427490234375,19486320,-0.007610350076103446,628.0167061941964,639.2212233770462,5.970739507259413,1
2022-05-24,HDFCBANK.NS,625.5180642227122,637.5472577654566,624.0264559706711,634.6361694335938,12870796,0.01457688551682681,629.9138793945312,638.7384614490327,5.599929057331107,1
2022-05-25,HDFCBANK.NS,639.9531102298189,642.8160348600121,636.6811460213428,639.375732421875,12887112,-0.0009022189262218647,631.542986188616,638.2514997209821,6.523457907143877,1
2022-05-26,HDFCBANK.NS,645.7993054909392,659.6809832899339,644.7647830842534,657.6119384765625,26992428,0.018291492240988506,635.1654924665179,638.4902372814361,11.850171080515102,1
2022-05-27,HDFCBANK.NS,660.0659236596756,671.0846178237094,659.5606740424182,669.8095703125,24031718,0.014761626533909873,640.5373883928571,639.2984851655506,17.47385556448014,1
2022-05-30,HDFCBANK.NS,678.566873569111,683.4988434000511,672.889070171654,674.3807373046875,12624674,-0.006169084326803792,648.4079153878348,640.3515915643601,18.673478147176017,0
2022-05-31,HDFCBANK.NS,671.662083279525,675.944488061126,664.0115042012508,668.3179321289062,13485388,-0.004978919063422801,653.0821184430804,640.8158889043899,19.02447290781231,1
2022-06-01,HDFCBANK.NS,664.0114702425767,673.8513268686822,663.6024894175849,671.1567993164062,12091896,0.0107608518738678,659.3269827706473,640.9827677408854,16.165353525715286,0
2022-06-02,HDFCBANK.NS,667.4999765351084,667.860852355906,663.3378636546508,666.4654541015625,11475020,-0.001549846396873271,663.8740234375,642.0066237676712,12.00350216661181,0
2022-06-03,HDFCBANK.NS,672.8169034842749,673.995741003826,662.231212745682,664.1558837890625,6957244,-0.012872773633302217,667.414045061384,642.9895833333334,5.4267131929572425,0
2022-06-06,HDFCBANK.NS,662.2312223234171,667.3796939444019,654.7009350100217,663.2656860351562,6173266,0.0015620884018572136,668.2217232840402,644.7308088030134,3.942428963691251,0
2022-06-07,HDFCBANK.NS,655.3505322636607,661.2689195958052,651.5492949621544,655.6392211914062,10253966,0.00044051070920526203,666.1973876953125,646.0579078311011,6.0603772640726605,1
2022-06-08,HDFCBANK.NS,660.7876929692908,664.4926611407994,652.9446351687653,657.9487915039062,5986588,-0.004296238406965113,663.8499668666294,647.0148199172247,5.520695487110474,1
2022-06-09,HDFCBANK.NS,655.4707669191479,664.9979118561328,653.016823143348,662.90478515625,7311816,0.01134149471233262,663.07666015625,648.0367286318824,5.157730508193655,0
2022-06-10,HDFCBANK.NS,654.436222491499,658.213377451669,646.4969548898966,650.105712890625,9155430,-0.0066171606216835046,660.0693620954241,649.137683686756,5.7628557258895805,0
2022-06-13,HDFCBANK.NS,636.8736353918679,639.9531208031428,629.511803905611,638.317138671875,10892572,0.002266545826031776,656.0481741768973,649.9453590029761,9.294466110619961,0
2022-06-14,HDFCBANK.NS,630.9312384303023,638.0284630380025,627.9239398677174,631.2921142578125,11870356,0.0005719733079123238,651.3533499581473,650.1034604027158,12.32315251965561,0
2022-06-15,HDFCBANK.NS,626.3120453531265,633.1205811087782,624.7482500861813,629.102783203125,11810470,0.004455826565534245,646.4729352678571,649.9533836728051,13.525379633611394,0
2022-06-16,HDFCBANK.NS,630.3297546494468,635.4060979237764,614.9323865969412,616.520263671875,12169192,-0.021908359673187067,640.8845127650669,649.2064296177456,16.793569409233786,1
2022-06-17,HDFCBANK.NS,613.4888961209325,625.0369224008559,611.8529139840168,620.5861206054688,14723922,0.011568627450980333,635.5469883510044,649.2682902018229,16.398957224518668,1
2022-06-20,HDFCBANK.NS,627.7795517185277,637.547280721459,622.703267102487,636.1759643554688,15936840,0.013374778796085495,631.7285853794643,649.2957879929315,11.280070510382284,1
2022-06-21,HDFCBANK.NS,643.2731943331319,651.5011513361289,637.0902003236198,643.1047973632812,13220684,-0.0002617814193628768,630.7284545898438,650.0415998186384,9.558046319550419,0
2022-06-22,HDFCBANK.NS,641.0357608318419,643.2972258536737,636.6811690239211,640.0734252929688,8159698,-0.0015012197410396964,630.9793526785714,650.3005167643229,9.81017498203547,1
2022-06-23,HDFCBANK.NS,640.193710492177,648.6141463686242,634.419697319756,642.43115234375,15372244,0.003494945068818032,632.5706438337054,650.4460129510788,10.72969121994363,1
2022-06-24,HDFCBANK.NS,644.0671595693715,655.1821236118307,644.0671595693715,651.4049682617188,8013432,0.011392924764636944,635.7566702706473,650.1504429408482,12.664964864803865,1
2022-06-27,HDFCBANK.NS,659.1997965869816,662.0868029953917,650.5387773617512,652.583740234375,9804164,-0.010036496350365043,640.9085954938616,649.3301653180804,10.72164959596594,0
2022-06-28,HDFCBANK.NS,646.6894682409041,650.0576425546589,643.9949405371601,647.6036987304688,9770574,0.001413708641415564,644.7682495117188,648.0550682431176,6.017551248204533,0
2022-06-29,HDFCBANK.NS,640.5545375901551,649.9373082816165,640.5545375901551,646.6653442382812,9994046,0.009539869424882684,646.2667323521206,647.0239926292783,4.678300734650653,1
